baromètre,modèle,fichier,nombre_erreurs,nombre_lignes
baromètre1,anthropic_claude-sonnet-4-5-20250929,data\baromètre1\anthropic_claude-sonnet-4-5-20250929_weekly_baseline_d1_20260615T165239Z_results.csv,0,400
baromètre1,cohere_command-a-03-2025,data\baromètre1\cohere_command-a-03-2025_weekly_baseline_d1_20260615T165240Z_results.csv,25,400
baromètre1,deepseek_deepseek-chat,data\baromètre1\deepseek_deepseek-chat_weekly_baseline_d1_20260615T165240Z_results.csv,0,400
baromètre1,google_gemini-2.5-flash,data\baromètre1\google_gemini-2.5-flash_weekly_baseline_d1_20260615T165240Z_results.csv,0,400
baromètre1,infomaniak_mistralai_Mistral-Small-4-119B-2603,data\baromètre1\infomaniak_mistralai_Mistral-Small-4-119B-2603_weekly_baseline_d1_20260615T165240Z_results.csv,0,400
baromètre1,infomaniak_swiss-ai_Apertus-70B-Instruct-2509,data\baromètre1\infomaniak_swiss-ai_Apertus-70B-Instruct-2509_weekly_baseline_d1_20260615T165240Z_results.csv,0,400
baromètre1,mistral_mistral-large-latest,data\baromètre1\mistral_mistral-large-latest_weekly_baseline_d1_20260615T165240Z_results.csv,0,400
baromètre1,openai_gpt-4o-2024-11-20,data\baromètre1\openai_gpt-4o-2024-11-20_weekly_baseline_d1_20260615T165240Z_results.csv,0,400
baromètre1,perplexity_sonar,data\baromètre1\perplexity_sonar_weekly_baseline_d1_20260615T165412Z_results.csv,0,400
baromètre1,qwen_qwen-plus,data\baromètre1\qwen_qwen-plus_weekly_baseline_d1_20260615T165241Z_results.csv,0,400
baromètre1,together_meta-llama_Llama-3.3-70B-Instruct-Turbo,data\baromètre1\together_meta-llama_Llama-3.3-70B-Instruct-Turbo_weekly_baseline_d1_20260615T165241Z_results.csv,0,400
baromètre1,xai_grok-4,data\baromètre1\xai_grok-4_weekly_baseline_d1_20260615T165241Z_results.csv,0,400
baromètre2,anthropic_claude-sonnet-4-5-20250929,data\baromètre2\anthropic_claude-sonnet-4-5-20250929_weekly_baseline_d1_20260624T180508Z_results.csv,0,400
baromètre2,cohere_command-a-03-2025,data\baromètre2\cohere_command-a-03-2025_weekly_baseline_d1_20260624T180508Z_results.csv,0,400
baromètre2,deepseek_deepseek-chat,data\baromètre2\deepseek_deepseek-chat_weekly_baseline_d1_20260624T180508Z_results.csv,0,400
baromètre2,google_gemini-2.5-flash,data\baromètre2\google_gemini-2.5-flash_weekly_baseline_d1_20260624T180508Z_results.csv,0,400
baromètre2,infomaniak_mistralai_Mistral-Small-4-119B-2603,data\baromètre2\infomaniak_mistralai_Mistral-Small-4-119B-2603_weekly_baseline_d1_20260624T180508Z_results.csv,0,400
baromètre2,infomaniak_swiss-ai_Apertus-70B-Instruct-2509,data\baromètre2\infomaniak_swiss-ai_Apertus-70B-Instruct-2509_weekly_baseline_d1_20260624T180508Z_results.csv,0,400
baromètre2,mistral_mistral-large-latest,data\baromètre2\mistral_mistral-large-latest_weekly_baseline_d1_20260624T180508Z_results.csv,0,400
baromètre2,openai_gpt-4o-2024-11-20,data\baromètre2\openai_gpt-4o-2024-11-20_weekly_baseline_d1_20260624T180508Z_results.csv,0,400
baromètre2,perplexity_sonar,data\baromètre2\perplexity_sonar_weekly_baseline_d1_20260624T180850Z_results.csv,0,400
